acousticness,liveness,speechiness,tempo,key,valence,loudness,instrumentalness,duration_ms,time_signature,danceability,energy,title,popularity
0.77,0.206,0.0706,107.994,5,0.746,-8.012,4.4e-05,200453,4,0.65,0.712,Right On For The Darkness,0
0.639,0.117,0.0564,97.947,0,0.946,-7.56,0,139360,4,0.638,0.727,Figa De Guiné,51
0.155,0.105,0.0402,79.992,4,0.646,-8.342,0.266,316660,4,0.611,0.615,Silver,0
0.719,0.11,0.0364,108.647,11,0.182,-10.959,0,164240,4,0.46,0.395,Witchi Tai To,17
0.107,0.372,0.115,141.612,7,0.543,-13.268,0.00102,180185,4,0.407,0.558,Lembur Kuring,0
0.0287,0.204,0.0754,122.721,9,0.728,-7.682,0.133,261000,4,0.735,0.87,Those Flowers,5
0.765,0.799,0.0471,127.989,0,0.501,-9.033,0.78,236040,4,0.692,0.404,Can't Do Without You,0
0.000191,0.144,0.0378,130.983,10,0.537,-8.183,0.79,383462,4,0.612,0.904,Just,16
0.422,0.3,0.343,140.808,11,0.758,-8.071,0.000264,272191,3,0.631,0.9,Pinta Manta,15
0.498,0.216,0.0391,97.997,7,0.706,-10.39,0.0821,162543,4,0.469,0.651,"Title Music (Sholay) - From “Sholay Songs And Dialogues, Vol. 1” Soundtrack",12
0.000141,0.0803,0.0541,124.992,11,0.814,-11.686,0.931,238417,4,0.845,0.639,Da Kara,1
0.778,0.543,0.0404,124.042,1,0.32,-13.755,0.642,218000,4,0.541,0.29,Irene,0
0.683,0.114,0.0337,108.288,2,0.701,-9.154,0.231,363387,4,0.68,0.453,Assalariado,0
0.852,0.113,0.0299,99.786,3,0.581,-16.316,0.0134,168963,4,0.765,0.376,Don't Be so Nice,0
0.763,0.044,0.0368,104.271,9,0.545,-11.074,0.0286,428665,4,0.528,0.551,Kosmos 1 & 2,3
0.573,0.19,0.0862,141.668,8,0.727,-6.508,0,216120,4,0.828,0.549,Sao New Look,0
